,Phone name,Phone price,Phone rating,Phone stars
52,"Redmi 7 (Lunar Red, 32 GB)","Rs.¹7,490","14,219 Ratings& 1,089 Reviews",4.3
53,"Mi 10i (Atlantic Blue, 64 GB)","Rs.¹21,999","2,932 Ratings& 232 Reviews",4.3
54,"Redmi Y2 (Rose Gold, 64 GB)","Rs.¹13,499","27,341 Ratings& 1,929 Reviews",4.4
55,"Redmi 1S (Metal Gray, 8 GB)","Rs.¹5,999","84,394 Ratings& 11,622 Reviews",4.3
56,"Redmi 8A Dual (Sea Blue, 64 GB)","Rs.¹9,999","17,833 Ratings& 1,168 Reviews",4.2
57,"Redmi Note 7 Pro (Nebula Red, 64 GB)","Rs.¹15,999","8,49,168 Ratings& 72,591 Reviews",4.5
58,"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)","Rs.¹21,990","2,499 Ratings& 275 Reviews",4.2
59,"Mi 10 (Twilight Grey, 128 GB)","Rs.¹54,999",332 Ratings& 38 Reviews,4.1
60,"Mi 11X (LUNAR WHITE, 128 GB)","Rs.¹28,990",7 Ratings& 2 Reviews,4.9
61,"Redmi 5 (Lake Blue, 16 GB)","Rs.¹6,980","4,292 Ratings& 381 Reviews",4.3
62,"Redmi 3S Prime (Gold, 32 GB)","Rs.¹8,999","4,76,408 Ratings& 87,492 Reviews",4.3
63,"Mi 4i (White, 16 GB)","Rs.¹6,990","80,772 Ratings& 8,861 Reviews",4.2
64,"Redmi 7A (Matte Black, 16 GB)","Rs.¹6,499","3,87,470 Ratings& 28,228 Reviews",4.3
65,"Redmi 3S (Dark Grey, 16 GB)","Rs.¹6,999","2,11,487 Ratings& 39,803 Reviews",4.3
66,"Redmi 4 (Black, 32 GB)","Rs.¹8,999","8,341 Ratings& 784 Reviews",4.2
67,"Redmi 4 (Gold, 32 GB)","Rs.¹8,999","8,341 Ratings& 784 Reviews",4.2
68,"Redmi 3S (Silver, 16 GB)","Rs.¹6,999","2,11,487 Ratings& 39,803 Reviews",4.3
69,"Redmi 5 (Lake Blue, 32 GB)","Rs.¹7,999","6,495 Ratings& 515 Reviews",4.3
70,"Redmi Y2 (Blue, 64 GB)","Rs.¹13,499","27,341 Ratings& 1,929 Reviews",4.4
71,"Mi Max (Gold, 32 GB)","Rs.¹14,999","18,755 Ratings& 4,062 Reviews",4.3
72,"Redmi 3S (Gold, 16 GB)","Rs.¹6,999","2,11,487 Ratings& 39,803 Reviews",4.3
73,"REDMI 10 Prime 2022 (Bifrost Blue, 64 GB)","Rs.¹12,498",7 Ratings& 0 Reviews,4.4
74,"REDMI Note 9 (Shadow Black, 128 GB)","Rs.¹16,299","1,20,965 Ratings& 9,354 Reviews",4.3
75,"REDMI Note 9 (Shadow Black, 64 GB)","Rs.¹12,699","1,20,965 Ratings& 9,354 Reviews",4.3
76,"REDMI Note 9 (Shadow Black, 128 GB)","Rs.¹14,999","6,329 Ratings& 430 Reviews",4.3
77,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)","Rs.¹20,899","2,449 Ratings& 194 Reviews",4.3
78,"REDMI NOTE 10 LITE (Glacier White, 64 GB)","Rs.¹14,550","1,900 Ratings& 148 Reviews",4.3
79,"REDMI NOTE 10 LITE (Aurora Blue, 128 GB)","Rs.¹15,799","1,900 Ratings& 148 Reviews",4.3
80,"REDMI Note 10 Lite (Glacier White, 128 GB)","Rs.¹16,885",649 Ratings& 55 Reviews,4.3
81,"REDMI 10A (Sea Blue, 64 GB)","Rs.¹9,999",139 Ratings& 7 Reviews,4.4
82,"REDMI Note 10 Pro (Dark Nebula, 128 GB)","Rs.¹19,995","2,449 Ratings& 194 Reviews",4.3
83,"REDMI 9 Power (Electric Green, 128 GB)","Rs.¹11,999","2,36,524 Ratings& 16,883 Reviews",4.3
84,"REDMI Note 10 Pro (Vintage Bronze, 64 GB)","Rs.¹17,999","14,966 Ratings& 1,407 Reviews",4.3
85,"REDMI 9 Prime (Matte Black, 64 GB)","Rs.¹9,990","2,21,625 Ratings& 15,114 Reviews",4.4
86,"REDMI Note 10 Lite (Interstellar Black, 128 GB)","Rs.¹15,990","1,900 Ratings& 148 Reviews",4.3
87,"REDMI Note 10 Lite (Interstellar Black, 64 GB)","Rs.¹14,988","1,900 Ratings& 148 Reviews",4.3
88,"REDMI 10 Prime 2022 (Bifrost Blue, 64 GB)","Rs.¹12,784",7 Ratings& 0 Reviews,4.4
89,"REDMI 9 Power (Fiery Red, 128 GB)","Rs.¹13,499","47,332 Ratings& 3,682 Reviews",4.3
90,"REDMI Note 10 Pro (Glacial Blue, 128 GB)","Rs.¹20,999","2,449 Ratings& 194 Reviews",4.3
91,"REDMI 9 Power (Blazing Blue, 128 GB)","Rs.¹15,990","2,36,524 Ratings& 16,883 Reviews",4.3
92,"REDMI Note 10 Pro (Glacial Blue, 64 GB)","Rs.¹17,999","14,966 Ratings& 1,407 Reviews",4.3
93,"REDMI Note 10 Pro (Dark Night, 64 GB)","Rs.¹17,999","14,966 Ratings& 1,407 Reviews",4.3
94,"REDMI 10 Prime (Bifrost Blue, 128 GB)","Rs.¹13,999","3,199 Ratings& 251 Reviews",4.2
95,"REDMI 8A Dual (Sky White, 32 GB)","Rs.¹7,499","56,294 Ratings& 4,157 Reviews",4.3
96,"REDMI Note 11S (Polar White, 128 GB)","Rs.¹17,999",358 Ratings& 35 Reviews,4.3
